Floats, 373, 372, 373, 374, 373, 372, 373, 377, 373, 375
Doubles, 396, 402, 395, 393, 393, 401, 393, 393, 393, 394
Ints, 348, 348, 348, 349, 349, 348, 347, 348, 347, 347
Longs, 354, 354, 354, 359, 371, 354, 359, 359, 357, 354
Unsigneds, 346, 346, 347, 348, 347, 345, 347, 348, 347, 348
